id,name,solid,r,g,b,choppable,drop_item,regrowth_game_minutes,bed,placeable,fishable,foraging_xp,toughness,drop_qty_min,drop_qty_max
0,grass,false,0,128,0,false,,,false,false,false,0,0,0,0
1,tree1,true,139,69,19,true,pine_log,30,false,false,false,1,5,10,20
2,indoor_wall,true,90,60,40,false,,,false,false,false,0,0,0,0
3,door,false,101,67,33,false,,,false,false,false,0,0,0,0
4,void,true,0,0,0,false,,,false,false,false,0,0,0,0
5,cabin_floor,false,160,120,80,false,,,false,true,false,0,0,0,0
6,bed,false,200,50,50,false,,,true,false,false,0,0,0,0
7,water,true,30,100,200,false,,,false,false,true,0,0,0,0
8,bridge,false,139,90,43,false,,,false,false,false,0,0,0,0
9,bridge_h,false,139,90,43,false,,,false,false,false,0,0,0,0
10,pine_stump,true,101,67,33,false,,,false,false,false,0,0,0,0
11,mountain_wall,true,34,20,1,false,,,false,false,false,0,0,0,0
12,mountain_wall_bottom,true,34,20,1,false,,,false,false,false,0,0,0,0
13,mountain_wall_top,true,34,20,1,false,,,false,false,false,0,0,0,0
14,mountain_corner_1,true,34,20,1,false,,,false,false,false,0,0,0,0
15,mountain_corner_2,true,34,20,1,false,,,false,false,false,0,0,0,0
16,mountain_side_wall_left,true,34,20,1,false,,,false,false,false,0,0,0,0
17,mountain_side_wall_right,true,34,20,1,false,,,false,false,false,0,0,0,0
18,indoor_back_wall,true,70,45,30,false,,,false,false,false,0,0,0,0
